LNAA001	额度状态为冻结关联时需授权
LNRA088	项目协议&1不存在
LNRA089	输入的利率档期与套档档期不一致
LNRA090	贷款协议状态已经结清，不允许做此交易
LNRA091	额度状态为终止，不允许做此交易
LNRA092	交易层面为额度，必须录入额度编号
LNRA093	交易层面为协议，必须录入协议编号
LNRA094	交易层面为借据，必须录入协议编号和借据序号
LNRA095	交易金额不能为零
LNRA096	协议中票据类型&1应为纸票或电票
LNRA097	额度编号&1不存在
LNRA098	协议&1非正常状态
LNRA099	到期日期不能大于协议到期日期
LNRA100	清算类型&1不合法
LNRA101	票据交易类型&1不合法
LNRA102	直贴行内清算时结算账号不能为空
LNRA103	生效日期非工作日
LNRA104	额度不循环协议也不能循环
LNRA105	客户信息状态为销号
LNRA106	交易生效日期&1小于关键交易中的最大生效日期&2
LNRA107	协议与法透额度内容不符
LNRA108	按计划放款不能选择项目协议
LNRA109	按计划放款只能到期一次还本息
LNRA110	按计划放款,自助还款标识不能为是
LNRA111	指定的冲正日&1+日志号&2无关键交易记录
LNRA112	指定的冲正日&1+日志号&2已被冲正
LNRA113	指定的冲正日&1+日志号&2对应的交易码与冲正交易码不同
LNRA114	额度下存在贷款欠款
LNRA115	额度金额修改后与修改前一致，不允许修改
LNRA116	银团参与行不能追加放款
LNRA117	还款方式应为&1
LNRA118	冲正交易有后续交易，不能隔笔冲正
LNRA119	应还本金额不等于贷款余额
LNRA120	计划还款日不等于到期日期
LNRA121	&1和&2与还款计划表中不一致
LNRA122	客户号不一致
LNRA123	客户账户状态异常
LNRA124	分期贷款不允许追加借据放款
LNRA125	只允许存款账号或内部账号
LNRA126	纸票的清算类型需为行内清算
LNRA127	&1应为空
LNRA128	该交易账户不允许为保证金账户
LNRA129	&1不等于&2
LNRA130	抵债标识需录入
LNRA131	还款账号选择需录入
LNRA132	还款账号需录入
LNRA133	贷款协议和(产品编码+归属机构、贷款大类、自助放款标识、自助还款标识)两者必选其一，且只能选其一
LNRA134	本产品&1不能在&2渠道下使用&3交易
LNRA135	贷款协议&1不允许通存通兑
LNRA136	银承协议&1票据类型非纸票
LNRA137	集中放款标识为放款中心时交易机构应为放款中心
LNRA138	集中放款标识为贷款行放款时交易机构应为协议归属机构
LNRA139	集中放款标识为两者均可时交易机构应为协议归属机构或放款中心
LNRA140	此票据&1已存在对应的借据
LNRA141	还款方式必须录入
LNRA142	还款周期必须录入
LNRA143	调整还款日需录入
LNRA144	固定日标识需录入
LNRA145	&1不可录入
LNRA146	字段&1录入值非法
LNRA147	递变/累进周期需录入
LNRA148	递变/累进值或递变/累进比例需录入
LNRA149	递变/累进值或递变/累进比例不需录入
LNRA150	递变/累进值、递变/累进比例不能同时录入
LNRA151	还款计划首期处理方式需录入
LNRA152	等额本息月供计算方式需录入
LNRA153	起息日期不能大于当前交易日期
LNRA154	存在未冲销记录
LNRA155	存在自定义还款基本信息
LNRA156	增加时不允许输入序号字段
LNRA157	非保证金户
LNRA158	&1与&2不能为同一账户
LNRA159	&1应为&2
LNRA160	利率生效日期小于贷款开始日
LNRA161	利率生效日期小于上一关键交易日期
LNRA162	&1与接口字段值不同，不允许此操作
LNRA163	已停息,不能做停息截计
LNRA164	资助还款计划不能截计
LNRA165	该期还款计划已结清
LNRA166	该期还款计划未逾期
LNRA167	截计日期小于该期转逾期日期
LNRA168	截计日期小于该期截计日期
LNRA169	指令内容中的结算账号不能为空
LNRA170	还款计划类型不正确
LNRA171	还款计划分类不正确
LNRA172	不允许修改&1
LNRA173	放款金额与起息日期必须同时输入或不输入
LNRA174	&1非对公活期账户，不允许开立法透
LNRA175	归还本金与分配本金不符
LNRA176	联保主额度下存在子额度，不允许删除
LNRA177	非法透额度，不允许开立
LNRA178	贷款协议状态&1
LNRA179	还款本金加利息不等于还款金额
LNRA180	扣款金额不足
LNRA181	该期放款计划状态无效
LNRA182	还款金额大于欠还本金金额
LNRA183	存在欠还不能正常还款
LNRA184	他行放款，银团贷款参牵标识只能是牵头行
LNRA185	参与行客户必须是对公客户类型
LNRA186	额度状态为已冻结或已取消等不可放款
LNRA187	该协议已放款，不能在放款
LNRA188	存在欠还本息
LNRA189	票据类型为电票时，支付行号不能为空
LNRA190	还款本金金额与分配本金金额不符
LNRA191	可用额度不足
LNRA192	&1不能与&2同时输入
LNRA193	&1无对应的&2
LNRA194	交易控制匹配函数检查产品编码&1为不允许
LNRA195	录入的截计日期小于上次截计日期或结息日
LNRA196	协议金额必须大于零
LNRA197	&1不允许做此交易
LNRA198	非法透额度类型，不允许查询
LNRA199	还款利息金额与分配利息金额不符
LNRA200	&1关系不成立
LNRA201	&1必须输入其中一项
LNRA202	已存在&1
LNRA203	&1未关联或已取消关联
LNRA204	在该生效日&1中已存在比当前交易日志号大的交易
LNRA205	&1必须与&2同时输入
LNRA206	起始日期及截止日期&1数差不能超过999
LNRA207	截止/结束/终止日期和(期限或周期）两者必选其一，且只能选其一
LNRA208	&1不在此交易维护，在专项交易维护
LNRA209	已录入协议号，无需录入小额质押标识
LNRA210	交易机构&1与归属机构&2间不允许通存通兑
LNRA211	借据状态已结清不能做此交易
LNRA212	风险分类为次级可疑损失才允许停息
LNRA213	风险分类为正常关注才允许取消停息
LNRA215	指定的冲正日&1+日志号&2存在未冲正的跨模块交易历史
LNRA216	输入的额度编号&1不等于关键交易明细中的额度号&2
LNRA217	输入的协议编号&1不等于关键交易明细中的协议编号&2
LNRA218	输入的借据号&1不等于关键交易明细中的借据号&2
LNRA219	产品不允许计提拨备
LNRA220	无此借据&1
LNRA221	协议下有转让借据不允许停息
LNRA222	到期日期&1必须大于等于起息日期&2
LNRA223	利息金额为计算值不能输入
LNRA224	无可结息记录
LNRA225	调用平台计算日期间的天数组件错
LNRA226	利率历史无&1日前的正常利率记录
LNRA227	贷款协议状态已生效，不允许做此交易
LNRA228	放款方式为非按计划放款
LNRA229	需要输入&1
LNRA230	借据&1不存在
LNRA231	日期必须输入
LNRA232	当日已透支，不允许删除
LNRA233	固定日应在1到31日之间
LNRA234	增加时，&1不允许输入
LNRA235	首次放款日必须大于起始日期
LNRA236	指定的冲正日&1+日志号&2无金融交易记录
LNRA237	借据已转让
LNRA238	协议&1借据&2已撤销或结清
LNRA239	借据已结清
LNRA240	协议已结清或撤销
LNRA241	借据计提标识为不需要计提
LNRA242	协议&1借据&2取不到借据余额主档记录
LNRA243	利息收取方式为预收息，借据初始到期日必须小于当前会计日
LNRA244	没有需要结息记录
LNRA245	终止日期&1必须大于开始日期&2
LNRA246	归还总金额与分配总金额不符
LNRA247	归还金额与分配金额不符
LNRA248	分配表内逾期利息与录入金额不符
LNRA249	分配表外欠息与录入金额不符
LNRA250	分配表内罚息与录入金额不符
LNRA251	分配表外罚息与录入金额不符
LNRA252	分配复利与录入金额不符
LNRA253	分配罚息复利与录入金额不符
LNRA254	分配复利复利与录入金额不符
LNRA255	交易对手为央行时，系统内外标识应为系统外
LNRA256	协议中交易对手类型&1不合法
LNRA257	最大借据号不能为零
LNRA258	调用组件&1异常
LNRA259	提前还款还息选择需录入
LNRA260	提前还款后还款计划调整方式需录入
LNRA261	首次计划放款日应在放款起始日与放款终止日范围内
LNRA262	调整金额不允许修改
LNRA263	公积金中心代码&1不存在
LNRA264	还款金额或还本金额需录入其一
LNRA265	退回多收预收息时，指定退息账号&1为空
LNRA266	不能结清，请做部分提前还款交易
LNRA267	渠道日期(交易日期)&1大于当前会计日期&2
LNRA268	需录入归还本金金额
LNRA269	协议&1的借据&2有逾期本金
LNRA270	协议&1的借据&2有截计利息
LNRA271	协议&1的借据&2有截计停息利息
LNRA272	逾期本金未结清，不能归还正常本金
LNRA273	归还的逾期本金大于应还逾期本金
LNRA274	协议&1的借据&2有未收回保证金
LNRA275	票据号码&1冠字号&2对应的借据不存在
LNRA276	借据&1非正常状态
LNRA277	协议&1的借据&2存在应还款，不能结清
LNRA278	还款金额或还本金额只能录入其一
LNRA279	协议&1的借据&2原始交易&3未找到
LNRA280	开始日期小于转逾日期
LNRA281	协议编号&1借据序号&2的罚息利率资料不存在
LNRA282	协议编号&1借据序号&2的正常利率资料不存在
LNRA283	协议编号&1借据序号&2的利率重定价资料不存在
LNRA284	贴现利息与利率、期限不相符
LNRA285	借据余额&1与票面金额&2不符
LNRA286	止息日与回购期限不能同时为空或同时有值
LNRA287	票据&1已卖出未回购，不允许再卖出
LNRA288	电子指令状态需为待处理或处理中
LNRA289	协议编号为&1不能做提前还款交易
LNRA290	归还金额不等于归还本金+归还利息
LNRA291	归还利息不等于应还利息
LNRA292	重新指定到期日需录入新到期日
LNRA293	非重新指定到期日不需录入新到期日
LNRA294	资助期不能提前还款
LNRA295	非预收息贷款不能退回预收利息
LNRA296	预收息贷款需录入是否退回预收利息
LNRA297	不变更还款计划只有分阶段还款和自定义还款
LNRA298	电票交易类型&1的配置已存在，请重新录入
LNRA299	电票交易类型&1的配置不存在，请先做增加。
LNRA300	&1与&2同时不为空
LNRA301	额度编号不一致
LNRA302	截止日期小于截计日期
LNRA303	开始日期小于截计日期
LNRA304	&1不为空
LNRA305	票面金额必须大于零
LNRA306	贴现金额不能小于零
LNRA307	贴现利息不能小于零
LNRA308	贴现金额不能大于票面金额
LNRA309	贴现金额与票面金额、贴现利息不相符，请核实
LNRA310	票据号码的长度不合法
LNRA311	在途天数不能小于零
LNRA312	贴现利息正差额与负差额不能同时有值
LNRA313	交易类型为贴现时，贴现正负利息差额都应为零
LNRA314	退息账号需录入
LNRA315	协议可放款额小于当前放款额，请核实
LNRA316	非卖方付息比例与非卖方付息金额不能同时有值
LNRA317	非卖方付息时，非卖方付息账号不能为空
LNRA318	法人透支额度未指定对应的前期法人透支额度
LNRA319	额度记录已结清，TWA 的冲正标志非冲正
LNRA320	&1与&2同时为空
LNRA321	可循环放款协议不能追加放款
LNRA322	追加放款时协议下不能有多条借据
LNRA323	有未结息还款计划不能追加放款
LNRA324	不允许&1检查
LNRA325	委托贷款&1不能为空
LNRA326	保证金金额必须为零
LNRA327	资金用途不为保证金,保证金账户标识为是则拒绝
LNRA328	期限类型必须为M
LNRA329	申请批次号应大于当前会计日的年月数
LNRA330	已并入下期放款
LNRA331	&1已过期
LNRA332	不存在逾期的协议,不允许冻结
LNRA333	非法透额度不允许冻结解冻
LNRA334	额度状态为终止，不允许此操作
LNRA335	公积金贷款&1不能为空
LNRA336	银团贷款他行放款时，参与行客户号和参与行名称至少输入其一
LNRA337	已经放款不能修改首次还款日
LNRA338	只能提供计算分期还款额功能
LNRA339	&1与&2需录入其一
LNRA340	开始日期需小于首次还款日
LNRA341	首次还款日需小于等于到期日期
LNRA342	还款周期长度非法
LNRA343	不能删除协议（借据）初始罚息利率资料
LNRA344	首次还款日与结息日要匹配
LNRA345	交易币种必须和账户币种相同
LNRA346	还款周期录入不合法
LNRA347	必须是活期存款户
LNRA348	资产卖出方式为非回购方式，不允许赎回
LNRA349	个人客户的&1为必输，不允许为空
LNRA350	生成还款还计划方式与协议定义不同
LNRA351	项目协议可用额度不足
LNRA352	票据&1已回购，不允许再做赎回
LNRA353	放款批次状态不为生效
LNRA354	放款批次的转账金额与输入的转账金额不一致
LNRA355	放款批次的转账账号与输入的转账账号不一致（本行）
LNRA356	放款批次的转账账号与输入的转账账号不一致（非本行）
LNRA357	批次日期应大于当前会计日
LNRA358	交易价格不能小于零
LNRA359	双币卡透支关联协议不允许做此交易
LNRA360	协议下有未结清借据不能结清协议
LNRA361	从协议未结清不能结清主协议
LNRA362	放款方式为按计划放款
LNRA363	入账检查时，交易金额必须输入
LNRA364	出账检查时，交易金额必须输入
LNRA365	专项额度是&1或&2，且申请批次未输入
LNRA366	协议&1的借据&2有正常欠息
LNRA367	协议&1的借据&2有表外欠息
LNRA368	保证金账户标识&1错误
LNRA369	冲正交易时，不能试算
LNRA370	收息交易处理时，强制收息金额不能为空
LNRA371	协议&1的借据&2无预收息分摊登记簿记录
LNRA372	协议&1的借据&2待摊递延利息金额为零
LNRA373	冲正交易时，还息金额不能为空
LNRA374	该笔交易未放款，无法冲正
LNRA375	协议&1的借据&2无关联的公积金冲还贷专户
LNRA376	协议&1的借据&2无关联的还款账号
LNRA377	输入利率生效日同时须输入正常和罚息利率资料
LNRA378	协议&1的借据&2无关联的自助质押贷款质押帐号
LNRA379	专项额度类型非供应链金融法透和在线融资法透
LNRA380	记录存在且放款批次状态不为失效
LNRA381	记录存在且放款批次状态为失效
LNRA382	记录存在且放款批次状态为已透支、已放款或失效
LNRA383	保证金账户标识&1不正确
LNRA384	只有个人贷款才能开留学贷款证明
LNRA385	放款周期录入不合法
LNRA386	产品不进行风险分类
LNRA387	只有留学贷款才能开留学贷款证明
LNRA388	申请人必须是借款人或共同借款人
LNRA389	该额度下协议数目大于1笔
LNRA390	协议编号状态为未停息，不允许做核销
LNRA391	借据状态不为损失状态不允许核销
LNRA392	贷款协议的产品不允许核销
LNRA393	交易金额必须大于0
LNRA394	贷款余额与已计提的减值准备金不等，不允许核销
LNRA395	表内利息与坏账准备金不等，不允许核销
LNRA396	&1不一致
LNRA397	票据&1已经登记应解登记簿
LNRA398	票据&1不存在对应的协议级记录
LNRA399	交易金额与对应余额之和大于协议金额
LNRA400	票据&1表外借据未结清，不允许此操作
LNRA401	票据&1已经解付
LNRA402	票据&1交易金额大于协议对应余额，无法解付
LNRA403	该还款计划已经转逾期
LNRA404	输入协议编号&1与借据中协议编号&2不符
LNRA406	该协议&1已经登记应解登记簿
LNRA407	借据&1资助期不允许停息
LNRA408	此流水号&1已做过电票记账
LNRA409	展期/缩期生效日&1应小于等于当前会计日期&2
LNRA410	展期/缩期生效日&1应大于等于协议到期日&2
LNRA411	展期/缩期生效日&1应大于等于协议起始日&2
LNRA412	展期/缩期生效日&1应小于等于协议到期日+宽限期&2
LNRA413	协议新到期日&1应大于当前日期&2
LNRA414	协议新到期日&1不应等于协议当前到期日&2
LNRA415	协议新到期日&1应大于等于协议放款到期日期&2
LNRA416	此电票交易类型&1未在电票记账参数表中定义
LNRA417	协议新到期日&1应大于展期/缩期生效日&2
LNRA418	扣账时，综合扣帐账号必录
LNRA419	入账时，综合入帐账号必录
LNRA420	协议新到期日&1应小于等于额度到期日&2
LNRA421	该产品&1不允许展期
LNRA422	该产品&1不允许缩期
LNRA423	协议新期限&1应小于等于对应产品最长合约期限&2
LNRA424	协议新期限&1应大于等于对应产品最短合约期限&2
LNRA425	协议编号&1为预收息并且有非逾期借据时不允许调整协议期限
LNRA426	协议编号&1为后收息并且有逾期借据时不允许调整协议期限
LNRA427	借据状态不为核销
LNRA428	维护方式必须为修改
LNRA429	&1不应等于&2
LNRA430	&1已签约，拒绝交易
LNRA431	首次还款日不能调整
LNRA432	协议编号&1借据序号&2的比较利率资料不不存在
LNRA433	借据已经到期，不能修改还款计划
LNRA434	还款计划存在欠还，&1不可调整
LNRA435	调整日不是本期，无需改动本期还款计划
LNRA436	指令代码&1不存在
LNRA437	此票据&1已做过卖出
LNRA438	下次重定价日为空
LNRA439	展期 / 缩期生效日&1应大于等于借据到期日&2
LNRA440	展期 / 缩期生效日&1应大于等于借据原始到期日&2
LNRA441	&1未签约,拒绝交易
LNRA442	展期 / 缩期生效日&1应大于等于借据开始日&2
LNRA443	展期 / 缩期生效日&1应小于等于借据到期日+到期宽限期&2
LNRA444	借据新到期日&1应大于当前日期&2
LNRA445	借据新到期日&1不应等于借据原到期日&2
LNRA446	借据新到期日&1应大于展期/缩期生效日&2
LNRA450	协议收息方式不为预收，不允许分摊
LNRA451	生效日期大于当前会计日
LNRA452	贷款协议状态为&1
LNRA453	删除总分核对表内贷款记录错误
LNRA454	收息方式为&1
LNRA455	当前分拆生效日小于借据中的上一金融交易日期
LNRA456	写入总分核对表内贷款记录错误
LNRA457	更新总分核对表内贷款记录错误
LNRA458	产品不允许分拆合并
LNRA459	协议编号&1对应客户应为单位客户
LNRA460	记录状态为已冲正
LNRA461	此票据对应的借据已结清，不允许卖出
LNRA462	截止日期小于当前会计日
LNRA463	加罚选择必须为双倍加罚
LNRA464	&1与&2不一致
LNRA465	自助质押状态应为&1状态
LNRA467	还款计划生成方式不允许修改
LNRA468	该期还款计划未结息
LNRA469	该质押账户已质押
LNRA470	公积金状态为删除，不允许做此交易
LNRA471	子项目状态为无效或删除，不允许做此交易
LNRA472	还款方式为一次还本付息，无须试算
LNRA473	相关合约号/账号与（协议号、借据号）必须输入其中一项
LNRA474	相关合约号/账号与（协议号、借据号）只能输入其中一项
LNRA475	打开上传文件出错
LNRA476	创建回盘文件失败
LNRA477	联机批交易总笔数与总笔数不相等
LNRA478	联机批交易总金额与总金额不相等
LNRA479	指令代码不允许为空
LNRA480	指令编号不允许为空
LNRA481	指令对象不允许为空
LNRA482	&1记录在文件&2中已存在，无法操作删除处理
LNRA483	协议编号&1借据序号&2在核销登记薄中不存在
LNRA484	读票据批量上传文件失败
LNRA485	期数与实际期数不一致
LNRA486	此票据&1无对应的卖出记录
LNRA487	协议&1借据&2在递延摊销登记簿中无对应数据
LNRA488	起始日期不能大于终止日期
LNRA489	放款周期录入不合法
LNRA490	不允许自动还保证金
LNRA491	此票据&1卖出记录已做过冲销
LNRA492	终止日期不能大于当前工作日
LNRA493	不存在未结息还款计划
LNRA494	若为自助渠道修改，不允许&1
LNRA495	若为柜面渠道修改，起始状态不允许为结清
LNRA496	修改状态为终止时，客户账号下自助质押贷款未全部结清
LNRA497	借据状态不为正常或逾期
LNRA498	专项额度类型必须为专项下、供应链金融或在线融资
LNRA499	存在循环协议则不能将其改为非循环额度
LNRA500	上传币种&1与原协议币种&2不相符
LNRA501	调用电子指令维护组件异常
LNRA502	上传币种&1与原借据币种&2不相符
LNRA503	调用票据买入检查组件异常
LNRA504	指令编号&1已存在
LNRA505	调用票据回购式买入到期检查组件异常
LNRA506	指令代码&1在电子指令参数表中不存在
LNRA507	调用票据卖出检查组件异常
LNRA508	录入指令对象&1与电子指令登记簿记录&2中不符
LNRA509	调用票据赎回检查组件异常
LNRA510	更新票据批量上传文件出错
LNRA511	存在逾期的协议&1，不允许此操作
LNRA512	累加记录数与总笔数不相等
LNRA513	累加金额与总金额不相等
LNRA514	写票据明细登记簿出错
LNRA515	未输入利率生效日则不能输入正常和罚息利率资料
LNRA516	&1与&2不能同时录入
LNRA517	协议期限录入不合法
LNRA518	协议还款基本信息表记录已存在不能增加
LNRA519	&1字段不应录入
LNRA520	协议&1的借据&2有未还正常本金
LNRA521	未生效借据才允许新增协议还款基本信息
LNRA522	保证金账户输入时保证金固定值必输
LNRA523	保证金账户为空时保证金固定值必须为零
LNRA524	保证金账号为空时保证金比例必须为零
LNRA525	产品核算规则&1不存在
LNRA526	该产品无本金科目配置信息
LNRA527	录入的上期额度号已作为额度&1的上期额度号
LNRA528	透支账号对应的额度编号与指定的上期额度号不符
LNRA529	预收利息时，&1不能小于&2
LNRA530	贷款停开账参数表无相应记录
LNRA531	更新表&1记录失败
LNRA532	贷款停开账状态为停账，不能执行交易
LNRA533	该产品不允许变更借款人
LNRA534	截记利息不为零
LNRA535	交易类型&1利息收支不应有差额
LNRA536	放款状态已冻结
LNRA537	预收利息贷款不能归还利息
LNRA538	写入批处理及联机交易及调整明细记录错误
LNRA539	写入匡息汇总文件记录错误
LNRA540	写入准备金计提缓存记录错误
LNRA541	还款金额大于应还金额
LNRA542	保证金关联种类为&1时，&2不能为空。
LNRA543	保证金关联种类为按借据时，必须关联到业务编号。
LNRA544	存在欠款不能提前还款
LNRA545	产品为&1,不允许输入&2的相关数据
LNRA546	产品为&1,应输入&2的相关数据
LNRA555	子项目协议编号&1不存在
LNRA556	贷款利率模式为&1时，&2不能为空。
LNRA557	贷款利率模式为&1且利率有浮动时，&2不能为空。
LNRA558	当币种为人民币时钞汇标识不能输入
LNRA559	非项目协议或关联项目协议且指定了放款账户，非法透，随借随还非受托支付，非未生效的同业代付产品协议时，放款账号不能为空。
LNRA560	项目协议且是否指定放款账户为 N或对私非本行放款或法透或随借随还或未生效的同业代付产品协议时，放款账号必须空。
LNRA561	协议&1未取到退息账号
LNRA562	放款方式为一次放款时，不允许追加放款。
LNRA563	协议状态非正常状态
LNRA564	该协议存在关联项目协议，不允许指定放款账号。
LNRA565	小额贷款公司属性不同
LNRA566	两个条件不能同时满足。
LNRA567	本行他行标示为本行，参与行信息不允许输入。
LNRA568	银团贷款不允许追加放款
LNRA569	非银团贷款时，&1应为空。
LNRA570	该笔法透不能删除，只能冲正
LNRA571	协议&1借据&2: 还款计划分类、还款计划类型、计划还款日必须同时输入，或同时不输
LNRA572	还款计划状态应为&1
LNRA573	欠保证金则拒绝
LNRA574	协议&1借据&2已撤销或结清或核销
LNRA575	不是授信额度，不允许自助贷款申请
LNRA576	产品属性表&1取值为空
LNRA577	协议收息方式不为预收息，不允许退回多收预收息。
LNRA578	非停息状态不允许调整该项
LNRA579	&1不允许提前还款
LNRA580	特殊还本情况不允许还利息还息选择应为1
LNRA581	协议编号&1有借据无协议
LNRA582	风险分类发起方式为自动，字段&1和&2和&3都不能输入
LNRA583	新客户号是共同借款人之一，不允许修改。
LNRA584	协议&1借据&2状态不为正常、结清或撤销
LNRA585	到期日变动方式为展缩期时必须输入展期 / 缩期生效日
LNRA586	存在正常状态的子协议不允许结清项目协议
LNRA587	养老按揭查询方式为1，查询截止日期如输入则不可大于当前会计日
LNRA588	关系类型&1请在&2修改
LNRA589	无此关系类型
LNRA590	客户号不为单位客户不允许此操作
LNRA591	解冻额度时额度状态要为冻结
LNRA592	冻结额度时额度状态要为正常
LNRA593	&1不允许输入
LNRA594	共同借款人&1不能与借款人为同一客户
LNRA595	共同借款人&1与借款人客户类型不一致
LNRA596	该协议非委托贷款
LNRA597	录入指令代码&1与电子指令登记簿中记录&2不符
LNRA598	录入指令状态&1与电子指令登记簿中记录&2不符
LNRA599	指令对象&1不存在
LNRA600	无满足条件指令
LNRA602	登记日期&1不在起始日与终止日之间
LNRA603	指令代码对应检查组件名&1不合法
LNRA604	计划还款日小于当前日时不可修改
LNRA605	没找到指定的还款计划临时信息
LNRA606	&1和&2不能同时为空
LNRA607	维护方式必须为增加
LNRA608	产品需要进行风险分类
LNRA609	贷款经营类型为委托贷款，委托人客户号、委托人结算户、委贷实现方式不能为空
LNRA610	委托存款户不能为空
LNRA611	贷款经营类型为银团贷款，银团贷款辅助产品码不能为空
LNRA612	贷款经营类型不为银团贷款，银团贷款辅助产品码应为空
LNRA613	收息方式为预收息，借据状态不为逾期
LNRA614	借据状态不为正常
LNRA615	零售贷款不允许只对借据层调整期限
LNRA616	还款计划分类必须为一般还款计划
LNRA617	输入还款计划日之前存在已结息记录
LNRA618	按计划放款用途细类只能是养老贷款
LNRA619	担保细类为自助质押或自助储蓄国债质押，用途细类必须为个人综合消费贷款
LNRA620	未指定委贷处理模式
LNRA621	收款人客户号不能为空
LNRA622	公积金贷款，公积金中心代码不能为空
LNRA623	非公积金贷款，公积金中心代码必须为空
LNRA624	客户经理1与客户经理2不应相同
LNRA625	收息方式为预收息时还款方式只能是 04
LNRA626	机构号&1与贷款归属机构&2不符
LNRA627	产品编码&1与协议产品&2不符
LNRA628	产品编码&1与票据交易类型&2不匹配
LNRA629	不自动记委存账时不能合笔处理模式
LNRA630	若是小额质押贷款，用途细类必须是111，311，411，511，521，611，711，721，731
LNRA631	&1应与协议币种保持一致
LNRA632	还款方式为04或00或08时，还款周期和调整还款日均不可输入
LNRA633	还款方式非01时，首期处理和等额本息月供计算方式不可输
LNRA634	&1录入不合法
LNRA635	无结息或转逾期记录不能调息
LNRA636	还款方式为&1,&2必须为零
LNRA637	03或04还款方式只能在最后阶段
LNRA638	&1状态不为&2
LNRA639	额度开始日不能小于上期额度开始日&1
LNRA640	额度到期日不能小于上期额度到期日&1
LNRA641	本行份额不能大于协议金额
